,targetdataset,sourcedataset
552,31,40
553,63,19
554,41,43
555,36,23
556,75,61
557,5,70
558,17,45
559,0,6
560,14,1
561,46,17
562,69,70
563,69,25
564,66,26
565,62,36
566,20,3
567,32,64
568,79,69
569,51,5
570,50,59
571,34,3
572,1,22
573,10,24
574,19,9
575,16,30
576,0,58
577,46,64
578,10,0
579,48,62
580,19,22
581,22,24
582,36,50
583,43,61
584,61,4
585,29,55
586,53,23
587,16,5
588,60,50
589,71,50
590,54,52
591,63,68
592,49,63
593,35,1
594,55,19
595,20,24
596,42,23
597,51,30
598,10,42
599,39,33
600,30,61
601,39,7
602,54,52
603,70,53
604,33,79
605,16,12
606,51,29
607,79,20
608,8,71
609,46,26
610,37,14
611,34,76
612,50,3
613,36,76
614,60,67
615,10,13
616,29,70
617,37,32
618,60,7
619,16,27
620,21,58
621,71,18
622,50,25
623,57,29
624,70,60
625,6,78
626,77,25
627,35,32
628,28,44
629,5,59
630,6,79
631,58,9
632,34,17
633,47,78
634,3,23
635,39,63
636,47,2
637,67,37
638,61,58
639,35,73
640,46,49
641,0,69
642,18,31
643,78,62
644,29,6
645,43,34
646,32,15
647,72,67
648,29,58
649,79,70
650,62,74
651,72,63
652,45,29
653,15,66
654,27,13
655,47,55
656,5,18
657,37,9
658,39,75
659,6,4
660,63,10
661,55,25
662,79,43
663,47,36
664,56,75
665,16,24
666,51,57
667,51,1
668,42,53
669,67,47
670,52,60
671,50,2
672,17,55
673,40,42
674,1,2
675,52,67
676,24,28
677,5,9
678,27,15
679,40,29
680,78,70
681,33,27
682,8,34
683,36,45
684,78,25
685,52,47
686,44,67
687,71,0
688,26,52
689,43,62
690,63,52
691,42,57
692,39,33
693,20,57
694,10,33
695,11,50
696,63,44
697,23,73
698,63,60
699,3,69
700,40,60
701,25,34
702,1,18
703,68,74
704,73,18
705,21,70
706,33,15
707,1,53
708,34,36
709,51,66
710,31,11
711,7,28
712,54,73
713,73,66
714,79,21
715,74,28
716,34,50
717,1,37
718,67,76
719,62,10
720,54,32
721,4,79
722,12,11
723,46,52
724,40,37
725,22,61
726,51,59
727,12,10
728,8,51
729,26,73
730,45,77
731,69,21
732,70,72
733,75,34
734,26,19
735,29,53
736,49,32
737,69,45
738,22,62
739,23,50
740,69,28
741,42,39
742,52,33
743,76,25
744,42,57
745,25,61
746,44,66
747,47,12
748,57,66
749,36,65
750,26,18
751,19,2
752,15,75
753,50,41
754,16,8
755,61,41
756,50,47
757,47,24
758,43,33
759,74,65
760,24,23
761,43,20
762,33,53
763,76,72
764,53,28
765,66,19
766,60,50
767,16,42
768,37,71
769,55,58
770,56,54
771,0,58
772,60,41
773,51,49
774,12,78
775,17,23
776,44,36
777,50,48
778,43,46
779,65,13
780,47,31
781,9,42
782,55,21
783,69,38
784,41,76
785,57,39
786,32,37
787,61,66
788,74,47
789,30,64
790,4,60
791,37,55
792,45,48
793,49,35
794,23,13
795,54,36
796,9,75
797,22,46
798,62,4
799,61,43
800,23,64
801,68,46
802,9,28
803,50,22
804,50,24
805,9,64
806,43,39
807,7,74
808,6,25
809,33,63
810,36,34
811,3,19
812,12,67
813,37,57
814,17,53
815,30,43
816,65,58
817,16,45
818,27,61
819,76,64
820,28,37
821,76,26
822,4,19
823,20,8
824,19,29
825,18,2
826,47,19
827,48,34
828,1,78
829,38,22
830,48,40
831,5,31
832,35,6
833,54,38
834,72,23
835,50,59
836,68,54
837,25,74
838,72,40
839,52,49
840,53,79
841,61,78
842,18,22
843,27,39
844,62,55
845,22,17
846,22,76
847,63,30
848,57,27
849,74,60
850,24,74
851,63,0
852,21,52
853,41,50
854,26,43
855,69,76
856,63,67
857,31,75
858,52,32
859,71,54
860,60,21
861,16,40
862,59,1
863,39,13
864,18,46
865,29,6
866,1,73
867,10,42
868,58,75
869,41,14
870,34,39
871,48,16
872,59,13
873,12,69
874,9,15
875,59,13
876,40,44
877,9,10
878,50,63
879,67,30
880,12,6
881,68,26
882,46,68
883,4,75
884,65,74
885,55,41
886,4,2
887,54,43
888,73,37
889,64,70
890,17,46
891,68,79
892,57,42
893,62,47
894,24,66
895,13,74
896,49,1
897,34,10
898,51,79
899,48,51
900,58,63
901,18,40
902,57,30
903,67,68
904,43,54
905,60,39
906,77,67
907,31,48
908,60,70
909,46,8
910,22,1
911,62,22
912,4,3
913,76,6
914,29,75
915,3,37
916,55,19
917,34,65
918,59,66
919,9,26
920,32,54
921,18,69
922,44,67
923,76,50
924,30,42
925,34,39
926,79,42
927,49,10
928,24,2
929,14,25
930,3,66
931,38,75
932,5,36
933,63,41
934,25,48
935,36,52
936,28,50
937,22,66
938,68,52
939,21,9
940,18,2
941,36,70
942,15,3
943,34,66
944,22,10
945,22,48
946,15,5
947,44,46
948,52,5
949,74,20
950,10,15
951,52,62
952,63,0
953,49,40
954,57,42
955,6,68
956,54,11
957,57,50
958,23,21
959,18,48
960,9,17
961,52,67
962,14,9
963,5,30
964,20,40
965,31,27
966,2,66
967,47,13
968,53,16
969,39,37
970,54,11
971,62,75
972,69,40
973,0,2
974,2,11
975,37,62
976,61,71
977,68,77
978,30,65
979,73,79
980,56,61
981,70,24
982,32,31
983,39,56
984,21,13
985,75,1
986,18,50
987,12,4
988,37,11
989,76,57
990,77,8
991,69,29
992,43,67
993,33,68
994,18,24
995,72,51
996,23,69
997,41,23
998,50,62
999,47,63
1000,11,69
1001,76,3
1002,63,27
1003,22,16
1004,58,44
1005,7,44
1006,18,17
1007,30,12
1008,56,48
1009,46,55
1010,19,28
1011,52,72
1012,77,50
1013,76,79
1014,5,34
1015,76,74
1016,35,31
1017,77,9
1018,73,70
1019,29,61
1020,66,41
1021,75,53
1022,78,72
1023,53,25
1024,21,59
1025,9,5
1026,69,35
1027,4,70
1028,39,69
1029,69,68
1030,8,23
1031,24,55
1032,34,60
1033,20,79
1034,22,13
1035,9,58
1036,31,77
1037,69,20
1038,32,79
1039,71,4
1040,49,25
1041,53,29
1042,67,58
1043,23,61
1044,72,2
1045,44,34
1046,1,79
1047,10,75
1048,69,34
1049,75,29
1050,41,0
1051,62,43
1052,16,64
1053,9,13
1054,2,42
1055,52,10
1056,0,61
1057,36,66
1058,18,49
1059,72,64
1060,42,10
1061,7,62
1062,72,21
1063,47,60
1064,51,31
1065,68,20
1066,41,60
1067,47,39
1068,19,7
1069,32,43
1070,12,79
1071,21,54
1072,23,56
1073,22,73
1074,0,73
1075,56,62
1076,49,25
1077,14,45
1078,30,9
1079,34,77
1080,37,36
1081,62,48
1082,54,25
1083,14,16
1084,37,35
1085,73,76
1086,37,14
1087,17,31
1088,79,59
1089,4,37
1090,13,49
1091,61,8
1092,68,62
1093,79,65
1094,37,28
1095,22,45
1096,10,55
1097,11,19
1098,0,57
1099,55,53
1100,38,4
1101,13,29
1102,15,12
1103,70,33
1104,11,13
1105,58,77
1106,25,44
1107,71,46
1108,25,41
1109,32,68
1110,53,40
1111,0,28
1112,15,21
1113,76,15
1114,42,16
1115,58,68
1116,46,55
1117,64,9
1118,15,11
1119,45,62
1120,55,73
1121,45,68
1122,4,31
1123,0,8
1124,5,42
1125,59,63
1126,30,69
1127,61,53
1128,75,5
1129,10,4
1130,14,44
1131,38,11
1132,30,14
1133,56,55
1134,23,61
1135,52,6
1136,39,0
1137,15,30
1138,78,53
1139,8,64
1140,61,19
1141,5,79
1142,23,56
1143,46,44
1144,49,34
1145,77,28
1146,1,57
1147,73,75
1148,76,75
1149,15,70
1150,29,62
1151,58,61
1152,72,39
1153,17,64
1154,10,7
1155,38,31
1156,50,21
1157,30,48
1158,62,50
1159,29,67
1160,6,76
1161,45,12
1162,15,48
1163,61,1
1164,23,33
1165,23,40
1166,20,21
1167,77,73
1168,75,53
1169,22,67
1170,24,12
1171,3,70
1172,44,75
1173,12,32
1174,49,76
1175,55,9
1176,7,2
1177,6,62
1178,47,49
1179,45,62
1180,78,46
1181,70,56
1182,55,0
1183,70,6
1184,51,70
1185,38,70
1186,4,45
1187,59,39
1188,60,26
1189,25,1
1190,8,77
1191,64,8
1192,5,73
1193,0,76
1194,19,67
1195,70,31
1196,26,37
1197,57,40
1198,75,29
1199,73,65
1200,23,37
1201,69,61
1202,45,65
1203,10,62
1204,32,54
1205,27,24
1206,34,75
1207,4,37
1208,79,39
1209,8,40
1210,40,71
1211,30,79
1212,77,63
1213,47,50
1214,72,23
1215,25,39
1216,16,32
1217,54,77
1218,73,60
1219,23,76
1220,20,17
1221,33,5
1222,64,6
1223,11,79
1224,23,40
1225,53,1
1226,26,72
1227,38,7
1228,75,77
1229,62,42
1230,58,52
1231,31,35
1232,69,24
1233,41,58
1234,17,58
1235,31,60
1236,15,64
1237,32,65
1238,46,29
1239,38,46
1240,19,26
1241,30,37
1242,22,51
1243,31,39
1244,45,25
1245,20,34
1246,79,54
1247,12,36
1248,5,37
1249,5,28
1250,2,48
1251,16,6
1252,14,41
1253,57,0
1254,5,57
1255,60,26
1256,73,37
1257,54,63
1258,58,60
1259,60,23
1260,71,61
1261,7,8
1262,33,79
1263,55,30
1264,22,6
1265,32,39
1266,26,63
1267,25,29
1268,75,79
1269,59,72
1270,71,73
1271,39,2
1272,9,14
1273,74,32
1274,60,63
1275,64,58
1276,23,70
1277,1,48
1278,46,17
1279,12,10
1280,39,17
1281,69,50
1282,58,32
1283,79,58
1284,41,78
1285,14,11
1286,39,63
1287,15,51
1288,72,47
1289,26,16
1290,28,37
1291,36,9
1292,36,74
1293,51,64
1294,57,41
1295,75,37
1296,20,9
1297,8,23
1298,29,50
1299,15,27
1300,1,78
1301,9,71
1302,52,14
1303,73,10
1304,3,6
1305,63,51
1306,62,8
1307,34,22
1308,58,0
1309,72,78
1310,73,78
1311,63,32
1312,32,24
1313,71,76
1314,11,66
1315,6,23
1316,2,66
1317,65,38
1318,41,57
1319,61,29
1320,24,6
1321,36,24
1322,67,65
1323,17,4
1324,78,75
1325,34,9
1326,68,47
1327,2,76
1328,8,2
1329,5,64
1330,33,61
1331,68,27
1332,79,31
1333,38,66
1334,55,74
1335,26,27
1336,26,48
1337,49,43
1338,31,43
1339,8,39
1340,20,44
1341,73,68
1342,21,24
1343,61,17
1344,59,41
1345,34,73
1346,13,26
1347,76,64
1348,48,14
1349,45,52
1350,33,61
1351,72,74
1352,51,6
1353,66,48
1354,29,64
1355,22,47
1356,66,79
1357,26,41
1358,74,62
1359,39,59
1360,40,23
1361,24,63
1362,63,49
1363,44,63
1364,22,33
1365,34,33
1366,71,53
1367,50,10
1368,26,53
1369,42,54
1370,75,49
1371,35,75
1372,48,45
1373,69,38
1374,33,55
1375,5,35
1376,77,19
1377,28,25
1378,39,8
1379,52,71
1380,20,7
1381,35,7
1382,44,41
1383,33,78
1384,24,20
1385,58,63
1386,18,23
1387,64,46
1388,51,56
1389,39,28
1390,0,10
1391,72,59
1392,16,66
1393,67,66
1394,59,66
1395,42,51
1396,29,17
1397,44,2
1398,53,75
1399,79,16
1400,69,78
1401,5,22
1402,72,11
1403,27,4
1404,32,61
1405,15,12
1406,61,28
1407,68,19
1408,60,17
1409,11,38
1410,25,0
1411,56,30
1412,16,19
1413,79,26
1414,35,36
1415,20,71
1416,39,79
1417,37,78
1418,51,64
1419,77,59
1420,20,34
1421,0,47
1422,59,58
1423,60,20
1424,28,59
1425,18,60
1426,23,19
1427,15,55
1428,30,58
1429,62,55
1430,19,71
1431,21,13
1432,57,71
1433,74,5
1434,9,29
1435,3,61
1436,27,13
1437,74,44
1438,41,16
1439,57,46
1440,15,5
1441,76,28
1442,44,6
1443,0,62
1444,62,40
1445,52,63
1446,76,12
1447,65,67
1448,47,14
1449,54,8
1450,51,25
1451,56,78
1452,14,56
1453,70,49
1454,17,68
1455,54,25
1456,16,59
1457,46,29
1458,15,39
1459,47,68
1460,60,28
1461,9,13
1462,66,33
1463,58,72
1464,31,75
1465,12,53
1466,15,29
1467,22,38
1468,12,60
1469,72,40
1470,40,5
1471,68,44
1472,54,14
1473,76,33
1474,24,75
1475,6,15
1476,34,27
1477,24,17
1478,20,34
1479,74,7
1480,66,60
1481,8,77
1482,3,70
1483,18,71
1484,49,51
1485,15,66
1486,7,74
1487,2,37
1488,72,28
1489,62,23
1490,58,18
1491,49,39
1492,21,8
1493,29,10
1494,57,10
1495,20,0
1496,11,6
1497,0,20
1498,68,74
1499,20,64
1500,26,25
1501,6,4
1502,78,17
1503,63,20
1504,4,16
1505,66,29
1506,2,19
1507,72,53
1508,67,27
1509,43,57
1510,59,20
1511,60,66
1512,69,52
1513,45,24
1514,29,64
1515,46,35
1516,16,28
1517,6,73
1518,72,29
1519,71,68
1520,63,60
1521,64,30
1522,44,41
1523,56,42
1524,31,16
1525,13,2
1526,52,61
1527,17,7
1528,47,28
1529,4,31
1530,51,2
1531,1,47
1532,79,17
1533,45,21
1534,23,38
1535,61,68
1536,27,71
1537,67,61
1538,4,25
1539,42,71
1540,8,27
1541,76,34
1542,78,60
1543,46,18
1544,65,69
1545,48,66
1546,34,0
1547,63,55
1548,20,69
1549,35,65
1550,72,60
1551,9,74
1552,79,52
1553,45,79
1554,45,49
1555,76,10
1556,18,17
1557,54,56
1558,6,26
1559,16,6
1560,3,39
1561,8,19
1562,37,35
1563,13,67
1564,7,1
1565,53,19
1566,74,23
1567,4,5
1568,65,20
1569,6,0
1570,15,28
1571,0,71
1572,64,63
1573,40,4
1574,21,55
1575,76,51
1576,26,62
1577,14,24
1578,8,74
1579,23,36
1580,41,16
1581,45,4
1582,77,32
1583,32,18
1584,25,29
1585,44,25
1586,21,2
1587,0,58
1588,15,18
1589,12,42
1590,51,69
1591,76,72
1592,42,30
1593,31,63
1594,1,40
1595,53,74
1596,51,77
1597,64,59
1598,16,70
1599,3,79
1600,7,40
1601,31,59
1602,25,42
1603,11,58
1604,17,77
1605,51,20
1606,1,37
1607,31,20
1608,70,60
1609,62,13
1610,16,58
1611,37,40
1612,28,70
1613,75,68
1614,39,2
1615,36,44
1616,4,65
1617,55,51
1618,27,51
1619,77,32
1620,25,5
1621,46,44
1622,1,47
1623,16,25
1624,30,65
1625,9,74
1626,13,60
1627,46,45
1628,75,11
1629,29,51
1630,63,55
1631,73,42
1632,45,78
1633,11,65
1634,51,11
1635,7,49
1636,25,32
1637,15,19
1638,12,6
1639,26,29
1640,19,72
1641,21,11
1642,57,48
1643,11,65
1644,60,78
1645,76,16
1646,79,76
1647,48,37
1648,52,59
1649,76,11
1650,43,70
1651,10,13
1652,2,55
1653,56,45
1654,79,26
1655,37,40
1656,23,14
1657,75,13
1658,54,73
1659,33,24
1660,16,17
1661,35,51
1662,0,70
1663,50,28
1664,36,30
1665,6,24
1666,33,76
1667,45,73
1668,55,25
1669,67,47
1670,40,20
1671,44,42
1672,26,69
1673,72,41
1674,55,54
1675,78,17
1676,38,72
1677,79,17
1678,58,41
1679,53,75
1680,41,58
1681,69,39
1682,77,29
1683,72,5
1684,9,15
1685,63,75
1686,37,20
1687,2,55
1688,50,23
1689,8,41
1690,42,15
1691,14,75
1692,22,70
1693,53,67
1694,60,58
1695,29,24
1696,78,24
1697,59,14
1698,52,46
1699,41,44
1700,52,74
1701,32,66
1702,41,1
1703,26,38
1704,10,32
1705,33,27
1706,18,72
1707,10,8
1708,9,61
1709,56,21
1710,48,45
1711,40,73
1712,40,56
1713,60,0
1714,68,77
1715,50,3
1716,24,26
1717,3,77
1718,69,66
1719,71,29
1720,4,41
1721,39,72
1722,33,66
1723,42,13
1724,58,65
1725,66,76
1726,7,57
1727,14,35
1728,76,69
1729,36,33
1730,54,16
1731,75,5
1732,47,18
1733,59,48
1734,51,23
1735,5,67
1736,25,74
1737,12,53
1738,36,78
1739,19,52
1740,36,12
1741,22,43
1742,29,25
1743,72,36
1744,26,41
1745,20,73
1746,18,12
1747,68,67
1748,4,2
1749,7,31
1750,47,77
1751,52,55
1752,48,14
1753,61,57
1754,4,12
1755,54,34
1756,24,67
1757,75,17
1758,65,79
1759,66,77
1760,62,39
1761,57,52
1762,66,78
1763,40,52
1764,50,24
1765,44,68
1766,28,12
1767,45,43
1768,44,34
1769,73,10
1770,4,2
1771,60,31
1772,79,10
1773,17,9
1774,40,49
1775,79,15
1776,29,23
1777,4,76
1778,77,39
1779,64,2
1780,55,40
1781,12,0
1782,40,59
1783,19,26
1784,49,79
1785,49,2
1786,46,43
1787,6,2
1788,43,49
1789,30,10
1790,32,67
1791,59,7
1792,10,41
1793,3,28
1794,56,40
1795,77,1
1796,74,15
1797,15,79
1798,4,19
1799,25,62
1800,77,17
1801,68,21
1802,16,27
1803,61,38
1804,78,4
1805,65,46
1806,65,5
1807,56,10
1808,32,25
1809,41,51
1810,29,14
1811,54,74
1812,50,34
1813,26,74
1814,26,62
1815,72,50
1816,68,77
1817,22,42
1818,39,20
1819,43,38
1820,16,9
1821,19,24
1822,79,68
1823,32,18
1824,20,27
1825,5,72
1826,56,12
1827,65,32
1828,9,65
1829,37,29
1830,58,40
1831,36,22
1832,41,12
1833,50,60
1834,11,0
1835,58,71
1836,34,43
1837,76,14
1838,74,62
1839,17,64
1840,6,16
1841,9,63
1842,4,76
1843,54,42
1844,64,52
1845,50,35
1846,51,74
1847,39,50
1848,14,29
1849,3,42
1850,25,19
1851,25,41
1852,8,66
1853,12,20
1854,65,36
1855,65,38
1856,2,33
1857,65,59
1858,26,32
1859,48,61
1860,26,64
1861,69,38
1862,49,21
1863,67,54
1864,69,22
1865,15,3
1866,62,52
1867,65,44
1868,64,77
1869,21,51
1870,52,22
1871,75,61
1872,23,60
1873,72,38
1874,15,19
1875,11,60
1876,51,23
1877,24,40
1878,54,6
1879,10,0
1880,74,64
1881,60,69
1882,30,16
1883,33,9
1884,68,49
1885,53,22
1886,26,46
1887,9,20
1888,56,53
1889,40,21
1890,67,44
1891,57,67
1892,57,26
1893,75,25
1894,2,21
1895,38,52
1896,34,51
1897,7,0
1898,20,72
1899,62,68
1900,35,48
1901,8,40
1902,33,15
1903,8,23
1904,7,40
1905,59,76
1906,46,76
1907,37,57
1908,15,22
1909,5,68
1910,64,60
1911,69,76
1912,20,49
1913,28,71
1914,16,47
1915,2,9
1916,30,18
1917,25,35
1918,45,38
1919,35,67
1920,3,33
1921,35,4
1922,41,53
1923,22,30
1924,54,75
1925,29,58
1926,16,45
1927,36,2
1928,15,21
1929,31,73
1930,33,65
1931,64,67
1932,77,44
1933,76,72
1934,32,45
1935,25,50
1936,21,63
1937,18,29
1938,49,1
1939,71,16
1940,37,8
1941,3,63
1942,10,0
1943,59,22
1944,72,79
1945,52,46
1946,64,14
1947,63,51
1948,45,71
1949,11,40
1950,2,15
1951,18,3
1952,30,51
1953,18,57
1954,59,34
1955,0,45
1956,16,62
1957,9,56
1958,42,35
1959,30,12
1960,61,26
1961,61,41
1962,59,16
1963,7,68
1964,30,4
1965,41,33
1966,72,10
1967,14,0
1968,1,13
1969,42,72
1970,43,71
1971,50,60
1972,4,76
1973,33,44
1974,49,42
1975,17,5
1976,58,75
1977,57,53
1978,0,72
1979,12,6
1980,46,26
1981,69,46
1982,21,15
1983,74,56
1984,53,58
1985,45,65
1986,56,11
1987,18,65
1988,24,10
1989,23,73
1990,52,60
1991,77,14
1992,40,2
1993,50,63
1994,76,38
1995,54,64
1996,8,45
1997,76,42
1998,77,14
1999,26,16
2000,7,54
2001,5,68
2002,28,13
2003,19,1
2004,21,64
2005,66,47
2006,54,33
2007,12,79
2008,43,46
2009,34,11
2010,51,49
2011,44,16
2012,5,2
2013,60,40
2014,29,71
2015,8,15
2016,28,25
2017,24,23
2018,2,31
2019,77,76
2020,69,26
2021,4,18
2022,40,19
2023,0,27
2024,53,19
2025,18,23
2026,17,65
2027,1,27
2028,2,37
2029,1,74
2030,26,52
2031,19,16
2032,34,22
2033,13,33
2034,35,48
2035,44,9
2036,56,55
2037,61,47
2038,40,43
2039,14,50
2040,8,49
2041,31,35
2042,44,59
2043,26,43
2044,64,62
2045,53,66
2046,42,74
2047,71,77
2048,75,52
2049,9,1
2050,54,56
2051,60,76
2052,32,41
2053,64,76
2054,14,42
2055,66,43
2056,57,66
2057,7,31
2058,28,4
2059,18,40
2060,75,58
2061,49,55
2062,60,54
2063,39,28
2064,45,15
2065,2,15
2066,79,17
2067,76,69
2068,33,28
2069,32,58
2070,48,45
2071,4,0
2072,71,49
2073,55,14
2074,19,72
2075,1,60
2076,40,57
2077,79,39
2078,39,46
2079,31,55
2080,69,78
2081,21,28
2082,19,61
2083,55,26
2084,44,15
2085,26,32
2086,31,64
2087,71,30
2088,12,1
2089,57,63
2090,34,77
2091,56,7
2092,52,21
2093,38,59
2094,34,53
2095,55,46
2096,30,5
2097,55,23
2098,40,15
2099,18,47
2100,2,73
2101,33,58
2102,9,64
2103,3,22
2104,66,12
2105,75,55
2106,41,21
2107,6,30
2108,42,7
2109,62,30
2110,22,37
2111,61,7
2112,15,12
2113,26,33
2114,79,65
2115,4,0
2116,23,67
2117,8,67
2118,20,0
2119,29,67
2120,37,70
2121,66,56
2122,47,0
2123,61,12
2124,79,70
2125,26,56
2126,77,49
2127,52,32
2128,16,60
2129,67,37
2130,64,38
2131,67,20
2132,21,1
2133,61,40
2134,7,1
2135,12,79
2136,79,1
2137,40,55
